company_name,job_title,location,salaries,description
Uber,"Data Scientist, Risk","Palo Alto, CA",,"Our team applies a variety of learning algorithms such as CNN, LSTM, DBSCAN, tree-based models, neural networks, and other graph based techniques such as matrix..."
OpenClassrooms,Data Scientist Instructor,Remote,,"We’re looking for Data Scientists like you to craft quality online courses on OpenClassrooms, Europe’s leading online learning platform (over 3 million monthly..."
University of Nebraska at Omaha,Data Scientist,"Omaha, NE",,The Data Scientist is responsible for utilizing institutional data to interpret meaning and prediction for business purposes using a variety of methodologies...
Rakuten Marketing,Data Scientist Sebastian Bock,"San Mateo, CA",,"Offering an integrated solution, along with unique insights and consultative partnerships, Rakuten Marketing delivers an integrated solution of tools, insights..."
Knowledge Facilitation Group,DATA SCIENTIST,"Chester, VA",,"Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our..."
University of New Mexico,Data Scientist,"Albuquerque, NM","$4,940 - $5,417 a month","Ability to understand business needs and apply data science, machine learning, and predictive analytics to meet those needs...."
"SpotX, Inc.",Data Scientist,"Broomfield, CO",,"Build mathematical, machine learning, and statistical models to discover actionable insights. A track record of providing compelling insights based on data...."
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
"PRA Group, Inc.",Data Scientist,"Norfolk, VA",,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Ericsson,AI Data Scientist,"Santa Clara, CA",,"As a Data Scientist/ ML Engineer, you will need to have strong programming skills and strong understanding of data science and Machine Learning tools...."
Community Care Collaborative,Data Scientist,"Austin, TX",,"Under general direction, the Data Scientist is responsible for organizing, analyzing, and reporting on data from large clinical, financial, and enrollment data..."
Facebook,"Core Data Science, PhD University Grad","New York, NY",,Facebook is seeking a Data Scientist to join our Core Data Science team. Answer product questions by using appropriate statistical techniques on available data....
"iHeartMedia, Inc.",Intern Data Scientist,"San Antonio, TX",,"A demonstrable scientific foundation and understanding of concepts of operations research and data science such as linear and discrete optimization, nonlinear..."
Uber,2019 University Graduate - Data Analyst - Safety & Insurance,"San Francisco, CA",,"Work closely with a cross-functional team consisting of engineers, product managers, lawyers, and other data scientists and analysts...."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
ManTech International Corporation,Data Analyst,"Sterling, VA",,"Integrate with, and materially contribute to, portfolio teams as a matrixed resource to provide data analytics expertise in support of modeling, ad hoc query..."
SentryOne,Data Scientist,"Charlotte, NC",,Interact regularly with other data professionals both within and external to the company to develop new opportunities for applying machine learning approaches...
Byte Systems,Data Scientist,"Reston, VA",,"This role collaborates across a team of Data Scientists, Data Administrators, and Data Engineers to produce work products...."
ISE Data Systems,Data Scientist,"Reston, VA",,"Data Scientist duties will typically be focused on the customer’s business analytics, metrics collection, and analysis efforts to assist the customer’s..."
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
"PRA Group, Inc.",Data Scientist,"Norfolk, VA",,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Starbucks,"data scientist, Supply Chain - Seattle, WA","Seattle, WA",,"Incorporates machine learning algorithms or deep learning where appropriate. This position partners on a cross-functional team of data scientists, statisticians..."
The Trevor Project,Senior Data Scientist,"Los Angeles, CA",,The Senior Data Scientist will contribute to The Trevor Project’s life-saving work by developing machine learning and natural language processing models that...
Netflix,Technical Research Analyst,"Salt Lake City, UT",$24 an hour,You will prevent negative impacts to Netflix and our customers by identifying trends and articulating them into actionable follow up and takeaways....
State of Georgia,Statistical Data Analyst,"Atlanta, GA",,Ability to collaborate in collecting and evaluating statistical data to identify performance trends. Advanced SQL Server knowledge for developing queries and...
ADP,Principal Data Scientist,"Parsippany, NJ",,"This individual will be a senior member of the Global Shared Services Analytics, a highly collaborative team, which provides data science and deep analytics..."
NOKIA,Machine L- Predictive Analytics Dev. Intern,"San Jose, CA",,This Machine Learning / Predictive Analytics Developer position will provide an excellent opportunity to work in a small tightly-knit team of architects and...
Bell Flight,Lead Enterprise Data Scientist,"Fort Worth, TX",,"Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, Astronomy, Bioinformatics or Computer..."
CDPHP,Senior Data Scientist,"Albany, NY",,"The Senior Data Scientist – Growth Analytics is responsible for developing predictive and prescriptive analytics models, creating efficient algorithms and..."
K12,Data Scientist,United States,,"Deep data munging ability to prepare data for machine learning algorithms. Familiarity with data life cycle management practices including sourcing, discovery,..."
Walmart Stores,Staff Data Scientist,"Sunnyvale, CA",,"The @WalmartLabs Personalization team consists of platform, application engineers, scientists and product visionaries all working together to design, prototype..."
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
"PRA Group, Inc.",Data Scientist,"Norfolk, VA",,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
DataRobot,Customer Facing Data Scientist,"Washington, DC",,Customer Facing Data Scientists (CFDSs) are critical to making our customers successful. An ideal CFDS candidate should have strong fundamentals of applied data...
Facebook,Data Scientist,"Menlo Park, CA",,"You will be responsible for creating end to end analytics programs, from data sourcing to surfacing insights and driving action, for various aspects of Facebook..."
Penn State University,Data Scientist,"University Park, PA",,"Computer programming, statistics, machine learning, multivariable calculus and linear algebra, data wrangling/enhancement, data visualization and communication,..."
Procter and Gamble,Data Scientist-Masters (Campus Hire),"Cincinnati, OH",,"At P&G, Data Scientists are Business Leaders, an effective communicator, self-motivated, and able to drive insights into actions that improve P&G’s business..."
Alt Shift USA,Data Scientist,"San Francisco, CA",,Substantial experience in creating optimization models. Support/develop models for GAP INC....
KPMG,Data Scientist,"Salt Lake City, UT",,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. Minimum five years of professional experience working as a..."
Street Simplified,Data Scientist,"Pasadena, CA",,"Experience with machine learning is a big plus. Fluent in applicable languages. Undergraduate or graduate degree in computer science, electrical engineering, or..."
Jefferson Lab,Scientific Computing Staff Scientist I,"Newport News, VA","$62,300 - $98,300 a year","Develop, support and maintain scientific computing applications in data analytics, statistics and applied math to support the 12 GeV science programs, with..."
"Amazon.com Services, Inc.",Research Data Scientist,"Cambridge, MA",,"As a Data Scientist in our Applied Modeling team, you will be responsible for data-driven improvements to our spoken language understanding models...."
Romph & Pou Agency,Data Scientist,"Shreveport, LA",,"Responsibilities for Data Scientist. We are looking for a Data Scientist who will support our product, sales, leadership and marketing teams with insights..."
MCR LLC,Data Scientist,"Norfolk, VA",,Four years (within the last seven years) experience conducting predictive analytics using data science (big data) and providing advice on relevant issues in the...
"PRA Group, Inc.",Data Scientist,"Norfolk, VA",,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
Spotify,Data Engineer – Core Datasets,"New York, NY",,"We design and implement new ways and strategies to empower the Spotify community of data scientists, ML, researchers, product designers, fraud investigators,..."
Fidelity Investments,"Research Analyst, Economist/Data Scientist, Global Asset Allocation","Boston, MA",,Proficiency with cross-sectional and panel data econometrics and machine learning methods for economics/finance....
Gro Intelligence,Data Science Intern,"New York, NY",,"Do original research on machine learning models and algorithms, working with closely with research scientists...."
Hearst Magazines,Data Scientist,"New York, NY",,"Hearst Magazine Media is seeking a Data Science Lead to join our Pattern & Shape initiative, a new, innovative B2B insights project that will leverage Hearst..."
january.ai,Growth Hacker,"Menlo Park, CA",,"We integrate data from multi-omic and formerly disparate sources into a unified view of users’ health, our machine learning reveals precise, personalized..."
Google,"Data Scientist, Ads Marketing","San Francisco, CA",,"You will bring scientific rigor and statistical methods to the challenges of data quality, insights and system performance to meet the users' high standards...."
Apple,Data Science Engineer,"Austin, TX",,"Providing technical leadership for a team of data scientists. We work side-by-side with data scientists and implement scalable, easy-to-use systems and tools...."
Sony Pictures Entertainment Inc.,"Data Scientist, Theatrical Marketing","Culver City, CA",,"Programming – Expertise with SQL data models (logical, physical, conceptual), R (required), Python (a plus, NumPy, pandas, scikit-learn), R Studio & Shiny apps..."
Quartet Health,Data Scientist - Evaluations,"New York, NY",,"You'll work with complex healthcare data to design and develop experiments to measure the impact on various outcomes from Quartet intervention, based on..."
Princeton University,Associate Professional Specialist - Data Curation Scientist,"Princeton, NJ",,Data Curation Scientists are expected to perform analyses that require a high-level understanding of the biomedical scientific literature and experimental...
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
"PRA Group, Inc.",Data Scientist,"Norfolk, VA",,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
PNC Financial Services Group,Data Scientist,"Pittsburgh, PA","$97,000 - $143,000 a year (Indeed est.)","This role will require a deep understanding of big data concepts, data visualization tools, and machine learning solutions so that you can recommend the best..."
University of California San Francisco,Data Systems Analyst,"San Francisco, CA","$71,000 - $107,000 a year (Indeed est.)","Manage discrete data projects including HIPPA compliant clinical data, flow cytometry, Cytof, immunohistochemistry, bulk and single cell RNAseq, bulk and single..."
Google,"Quantitative Marketing Analyst, Google Search","Mountain View, CA",,"Experience with Python, R, SQL, Hadoop, and other relevant tools to manipulate and analyze big data. You will collaborate with a multidisciplinary team of..."
Penn State University,AI Associate - Data Scientist,"University Park, PA",,Strong consideration will be given to candidates who can present a successful project in machine learning that demonstrates the ability to create and train end...
Walmart eCommerce,Staff Data Scientist,"Sunnyvale, CA","$121,000 - $178,000 a year (Indeed est.)","The @WalmartLabs Personalization team consists of platform, application engineers, scientists and product visionaries all working together to design, prototype..."
Florida Blue,CX - Data Scientist Intern,"Jacksonville, FL","$65,000 - $96,000 a year (Indeed est.)",Establish strong knowledge of Customer Experience in the Health Care industry and Florida Blue available tools/Platforms to define recommendations applicable to...
Continental Service Group,Data Scientist I - 2117.051019,"Fairport, NY","$77,000 - $114,000 a year (Indeed est.)","The Analyst will provide support for mining data to identify behavior patterns, predict trends, and forecast outcomes to support data-driven decisions and drive..."
Gannett,Data Scientist,"McLean, VA","$101,000 - $149,000 a year (Indeed est.)","Machine learning, data mining, statistical modeling, data visualization. MA/PhD with emphasis on data mining, or Bachelors plus 3-5 years of relevant experience..."
Cisco Careers,Data Scientist GVE Digital Team,"San Jose, CA","$121,000 - $179,000 a year (Indeed est.)","You possess a deep understanding of machine learning and interest in applying it at scale. In Computer Science, Statistics, Computational Linguistics,..."
Trinity Industries,Senior Data Scientist,"Dallas, TX",,Brings deep expertise in data visualization tools such as Qliksense and techniques in translating business analytics needs into data visualization and semantic...
"PRA Group, Inc.",Data Scientist,"Norfolk, VA","$91,000 - $135,000 a year (Indeed est.)","Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
Decision Sciences,Data Scientist,"Poway, CA","$100,000 - $147,000 a year (Indeed est.)","Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Verizon,Data Scientist,"Ashburn, VA","$86,000 - $127,000 a year (Indeed est.)","Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Valassis Digital,Staff Data Scientist,"Morrisville, NC","$99,000 - $146,000 a year (Indeed est.)","Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Zillow Group,Senior Data Scientist - A/B Testing,"San Francisco, CA",,In depth knowledge of web and mobile analytics (Adobe Analytics or Google Analytics). Lead result analyses for high-stake A/B tests and support other Data...
Embedded Alliance,Data Scientist/Machine Learning Engineer,"Springfield, VA",,"Individual will work on small teams to conceptualize, design, develop, test, and harden for deployment advanced analytics, e.g. algorithms in Python, R, VBA,..."
"Amazon.com Services, Inc.",Principal Data Lab Architect,"Herndon, VA",,"You will focus on real time and batch-based data processing, business intelligence, analytics, and machine learning systems...."
JDA Software,Data Science Consultant,"Dallas, TX",,"Demonstrated experience of script programming languages, preferably Python, for data analytics and machine learning applications...."
"CGI Group, Inc.",Junior Data Scientist,"Charleston, SC",,Evaluate data quality using SQL and data analysis techniques that improve client-reporting capabilities. 2+ Years of Experience in creating complex SQL queries...
RESILIENT POINT,Data Scientist/Analyst,"Washington, DC",,"Communicate and disseminate findings derived from data analysis and machine learning evaluations via reports, memos, slack / email, presentations, information..."
IBM,Principal Data Scientist - IBM Finance and Operations.,"Armonk, NY",,"Understanding of data mining techniques and machine learning algorithms (regression analysis, cluster analysis, decision trees, neural networks and deep..."
Uber,Data Scientist - Control & Health,"San Francisco, CA",,"Marketplace data scientists combine clear product vision, deep technical skills, and powerful data analysis and modeling to improve the algorithms that run Uber..."
Cvent,Head of Data Science,"Tysons Corner, VA",,"Managing current Data Scientist team. As the Head of Data Science, you will be identifying and evaluating opportunities to leverage data science and machine..."
Uber,Data Science Manager - Uber Everything (SF),"San Francisco, CA",,"To solve these problems, data scientists leverage unique data sources diverse in both geographical and temporal dimensions and in both structured (data from app..."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Verizon,Data Scientist,"Ashburn, VA","$86,000 - $127,000 a year (Indeed est.)","Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
"Foundation Medicine, Inc.",Data Scientist,"Cambridge, MA","$86,000 - $126,000 a year (Indeed est.)","Harnessing advanced technology, Foundation Medicine is developing clinical laboratory tests that will broadly capture the most relevant tumor genomic and other..."
OpenX,Data Scientist II,"New York, NY","$112,000 - $165,000 a year (Indeed est.)","We're looking for a Senior Data Scientist who:. Familiarity with big data technologies such as SQL, Hadoop, Hive, Impala, Scala, Spark, etc...."
Lawrence Livermore National Laboratory,Data Scientist,"Livermore, CA","$91,000 - $135,000 a year (Indeed est.)","We have multiple openings for Data Scientists with expertise in computer science, machine learning, computer vision, computational statistics, uncertainty..."
Adobe,Data Scientist - 3D & Immersive,"San Francisco, CA","$116,000 - $171,000 a year (Indeed est.)","You will be part SQL expert, part data scientist, and a whole lot of analytics tools guru. Tapping into our massive product usage data sets, you will work..."
"Amazon.com Services, Inc.","Data Scientist, Alexa Shopping NLU","Seattle, WA",,"5+ years of experience with machine learning, statistical modeling, data mining, and analytics techniques...."
ANALYTICA,Data Scientist,"Washington, DC","$113,000 - $166,000 a year (Indeed est.)","Two (2)+ years in creating machine learning pipelines to derive insights from data (i.e., from data aggregation and cleaning, to using machine learning..."
"Amazon.com Services, Inc.","Data Scientist, WFS","Seattle, WA",,"As a Data Scientist in Workforce Staffing, your work is focused on driving analytics and develop algorithms that provide insights into the people that make up..."
7-Eleven,Data Scientist,"Irving, TX","$90,000 - $133,000 a year (Indeed est.)",Work closely with data engineersto ensure the source data is aggregated and cleansed. Develop machine learning (ML) workflows to inform CRM and Loyalty programs...
Sleep Number,Data Scientist,"San Jose, CA",,"Minimum 3 years of machine learning and data science experience. Specifically, you will be involved in a broad range of tasks from design and implementation of..."
Direct-to-Consumer and International,Data Scientist,"Burbank, CA","$109,000 - $161,000 a year (Indeed est.)","Development of prototype solutions, mathematical models, algorithms, machine learning techniques, and robust analytics to support analytic insights and..."
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
"PRA Group, Inc.",Data Scientist,"Norfolk, VA","$91,000 - $135,000 a year (Indeed est.)","Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Decision Sciences,Data Scientist,"Poway, CA","$100,000 - $147,000 a year (Indeed est.)","Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC","$99,000 - $146,000 a year (Indeed est.)","Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Housecall Pro,Data Scientist Intern,"San Diego, CA",,"As a Data Scientist Intern on the Analytics team, you will support business decisions across the company by using data and providing insights...."
LSQ,Data Scientist - Risk,"Orlando, FL",,Data Scientist (Risk). Responsibilities of Data Scientist (Risk). LSQ is searching for a Data Scientist (Risk) to join our growing team of analytics experts....
Numerdox,Data Scientist - Entry Level,"Sacramento, CA",,"Bachelors, MS or PhD in a relevant field (Computer Science, Engineering, Statistics, Physics, Applied Math)...."
Fractal Analytics,Data Scientist (Pharma or Life Science),"Indianapolis, IN",,"Create predictive models, train and leverage machine learning APIs, build machine learning pipelines, for pharma/Life sciences clients...."
Bold Metrics,Data Scientist,"San Francisco Bay Area, CA",,"Fluent in data fundamentals including SQL and data manipulation using a procedural language. Define problems, research solutions, and figure out which data to..."
General Electric,Sr Data Scientist,"Evendale, OH",,"Work with visualization and database engineers on data quality assessment, data cleansing and data analytics. Demonstrated skill in the use of applied analytics..."
"City of Dallas, TX",Data Scientist,"Dallas, TX","$74,207 - $140,808 a year",Experience mentoring or supervising junior data scientists or data analysts a plus. Build Community of Practice for staff in data-oriented roles and manage data...
WeWork,Senior Data Scientist,"Seattle, WA",,"Our product and engineering teams collaborate very closely with our Data Scientists to share domain knowledge, test hypotheses at scale, and develop promising..."
SiriusXM,Data Scientist - Automatic Labs,"San Francisco, CA",,"As a Data Scientist, you have the opportunity to leverage this unique dataset and state-of-art machine learning infrastructure to turn your insights into new..."
Optimizely,Data Scientist - Statistical Inference,"San Francisco, CA",,"As a Data Scientist at Optimizely, you’ll be in charge of Stats Engine, the core statistics methodology behind all our experiments...."
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
"PRA Group, Inc.",Data Scientist,"Norfolk, VA",,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Virgin Pulse,Data Scientist,"Providence, RI",,"Experience with R, SQL and data visualization tools and techniques preferred. Access and manipulate data using SQL, R, Python in AWS databases for analytic and..."
Blackwatch,Data Scientist,"Springfield, VA",,Individual data scientists shall have applied knowledge in three distinct areas depending on mission requirements....
IBM,Watson AI Cognitive Engineer - High School Internship,"Durham, NC",,You will work with Watson cognitive engineers and data scientists and use Watson services to implement selected AI projects....
Gemological Institute of America,Data Scientist - Machine Learning,"New York, NY",,Data Scientist – Machine Learning (New York). This position is responsible for developing unique solutions that leverage Machine Learning and statistical...
GIA,Data Scientist - Machine Learning,"New York, NY",,Data Scientist – Machine Learning (New York). This position is responsible for developing unique solutions that leverage Machine Learning and statistical...
